material_id,formula,band_gap,energy_above_hull,is_gap_direct,regime_calc,proba_pv_oof
mp-552992,DyBi2BrO4,1.329,0.0,False,GGA,0.9984123101027671
mp-546625,HoBi2BrO4,1.366499999999999,0.0,False,GGA,0.997073451719886
mp-552857,TbBi2IO4,1.326699999999999,0.0,False,GGA,0.9961770391157544
mp-551101,HoBi2IO4,1.391099999999999,0.0,False,HSE06,0.9952170202710353
mp-549475,TbBi2BrO4,1.2946,0.0,False,GGA,0.9946751068195672
mp-546266,DyBi2IO4,1.3667999999999991,0.0,False,GGA,0.9933339197556427
mp-546350,TmBi2BrO4,1.360199999999999,0.0,False,GGA,0.9933133450054298
mp-550111,SmBi2BrO4,1.278299999999999,0.0,False,HSE06,0.9913115663499759
mp-553242,NdBi2BrO4,1.219899999999999,0.0,False,GGA,0.9894469654565925
mp-551250,ErBi2IO4,1.375,0.0,False,GGA,0.984706243652584
mp-552738,TmBi2IO4,1.425899999999999,0.0,False,HSE06,0.9833443170338616
mp-549709,ErBi2ClO4,1.3769,0.0,False,GGA,0.9812070547071114
mp-552292,SmBi2IO4,1.3061,0.0,False,GGA,0.9776536724433711
mp-551900,PrBi2BrO4,1.2269,0.0,False,GGA,0.9762840872226654
mp-546082,TmBi2ClO4,1.4201,0.0,False,GGA,0.9750608375512845
mp-562809,GdBi2BrO4,1.023199999999999,0.0,False,GGA,0.9735954992939081
mp-628631,GdBi2IO4,1.3080999999999992,0.0,False,GGA,0.9733855051101841
mp-549333,NdBi2IO4,1.265399999999999,0.0,False,GGA,0.971964357801134
mp-545728,PrBi2IO4,1.2196999999999991,0.0,False,HSE06,0.9690123187348421
mp-546621,ErBi2BrO4,1.357,0.0,False,HSE06,0.9673534137072505
mp-545847,LuBi2BrO4,1.3984,0.0,False,GGA,0.964679288564206
mp-549127,HoBi2ClO4,1.370999999999999,0.0,False,GGA,0.9643746357998467
mp-550635,LuBi2IO4,1.4425,0.0,False,GGA,0.9538068510924218
mp-546672,LaBi2IO4,1.2225,0.0,False,GGA,0.9489924814332353
mp-546152,SmBi2ClO4,1.217699999999999,0.0,False,GGA,0.9436400845433176
mp-553243,YBi2BrO4,1.339999999999999,0.0,False,GGA,0.9286782522181936
mp-545529,NdBi2ClO4,1.1973999999999991,0.0,False,GGA,0.9258343528036788
mp-552008,DyBi2ClO4,1.3739,0.0,False,GGA,0.9228730606326254
mp-551816,YBi2IO4,1.3836,0.0,False,HSE06,0.9208047337177785
mp-547125,TbBi2ClO4,1.3439,0.0,False,HSE06,0.9193994570903842
mp-1206059,Rb2NaCrCl6,1.3631,0.0,True,GGA,0.9157004089628015
mp-550805,LuBi2ClO4,1.461799999999999,0.0,False,GGA,0.889739670127719
mp-553082,PrBi2ClO4,1.1244,0.0,False,GGA,0.8773346449271305
mp-1205683,Cs2KCrCl6,1.553499999999999,0.0,True,GGA,0.8455110202510383
mp-1111655,Rb2AgAsCl6,1.2354,0.0,False,GGA,0.8377071720626392
mp-1206266,K2NaCrCl6,1.3875,0.0,True,GGA,0.8281775928561258
mp-1205991,LaBi2ClO4,1.3154,0.0,False,GGA,0.8153272340368874
mp-552604,YBi2ClO4,1.3088,0.0,False,GGA,0.7848481951518503
mp-1110803,Rb2AgSbCl6,1.6275,0.0,False,GGA,0.721036191844493
mp-1111634,Rb2InAgCl6,1.293,0.0,True,GGA,0.700214152796239
mp-1112112,Cs2TlAsBr6,1.2314,0.0,True,GGA,0.6845884787011098
mp-558050,Rb2NaMnF6,1.678599999999999,0.0,False,GGA+U,0.6585236776208001
mp-1205717,KRb2MnF6,1.704699999999999,0.0,False,GGA+U,0.6181101170778298
mp-1079339,K2NaMnF6,1.5314,0.0,True,GGA+U,0.6065291272577977
mp-1113578,Cs2AgAsBr6,1.116099999999999,0.0,False,GGA,0.5998625514914764
mp-1110871,K2CuBiCl6,1.161699999999999,0.0,False,GGA,0.5793476504807848
mp-1096926,Cs2InAgCl6,1.3421,0.0,True,GGA,0.5697269864384295
mp-1110690,Rb2CuBiCl6,1.0756,0.0,False,GGA,0.528717026541993
mp-1112940,Cs2AgSbCl6,1.662399999999999,0.0,False,GGA,0.48840051082158775
mp-24227,H8Pt(NCl3)2,1.7803,0.0,True,GGA,0.4819444892017743
mp-1112544,Cs2TlAsI6,1.0046,0.0,True,GGA,0.46874375571073035
mp-632724,ReH8(NCl3)2,1.0107,0.0,True,GGA,0.453319292627517
mp-1212006,InNiAg2F7,1.4768,0.0,False,GGA+U,0.440211012174457
mp-560861,Cs2KMnF6,1.7435,0.0,False,HSE06,0.35353077046671216
mp-1110602,Rb2AgRhF6,1.390499999999999,0.0,False,GGA,0.3452293193993953
mp-1111950,K2AgRhF6,1.4182,0.0,False,GGA,0.32691645473057646
mp-1228982,CsMnFeF6,1.1137,0.0,True,GGA+U,0.3224518881167795
mp-1114071,Rb2InBiCl6,1.691599999999999,0.0,True,GGA,0.31880208961558143
mp-1219602,Rb4InSbCl12,1.033599999999999,0.0,True,GGA,0.3117417630098775
mp-989405,Cs2LiInBr6,1.318,0.0,True,GGA,0.30548590290154304
mp-1213740,CrNiAg2F7,1.657399999999999,0.0,False,GGA+U,0.3043361281293882
mp-1114011,Rb2NaTlBr6,1.0102,0.0,True,GGA,0.28760682074150334
mp-1225983,Cs4InSbCl12,1.0907,0.0,False,GGA,0.2403297443223346
mp-989516,Cs2ICl6F,1.126099999999999,0.0,True,GGA,0.2402373719950226
mp-1111665,K2LiRhF6,1.7665000000000002,0.0,True,GGA,0.2315259032079104
mp-1210483,Na2CoNiF7,1.4955,0.0,False,GGA+U,0.22985954638305942
mp-1225874,CsZnCoF6,1.6216,0.0,True,GGA+U,0.2102261178263972
mp-1228863,CsMnCrF6,1.595799999999999,0.0,False,GGA+U,0.1918274381553291
mp-1113707,Rb2LiRhF6,1.7225,0.0,True,GGA,0.19051886883783636
mp-14037,NaTl2RhF6,1.7848000000000002,0.0,False,GGA,0.16215113588654453
mp-1228915,CsCoNiF6,1.4981,0.0,False,GGA+U,0.15247267934535713
mp-1193745,CeAsO4F,1.495499999999999,0.0,True,GGA,0.14849463685119516
